確定病名,研判年份,研判週別,縣市,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2020,10,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020,10,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020,10,桃園市,F,否,25-29,1
嚴重特殊傳染性肺炎,2020,10,桃園市,F,否,55-59,2
嚴重特殊傳染性肺炎,2020,10,新北市,F,否,55-59,1
嚴重特殊傳染性肺炎,2020,11,台中市,M,否,50-54,1
嚴重特殊傳染性肺炎,2020,11,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020,11,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020,11,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020,11,空值,M,是,35-39,2
嚴重特殊傳染性肺炎,2020,11,桃園市,M,否,20-24,1
嚴重特殊傳染性肺炎,2020,12,台中市,F,否,30-34,1
嚴重特殊傳染性肺炎,2020,12,台北市,F,否,15-19,1
嚴重特殊傳染性肺炎,2020,12,台北市,M,否,35-39,1
嚴重特殊傳染性肺炎,2020,12,台南市,F,否,25-29,1
嚴重特殊傳染性肺炎,2020,12,空值,F,是,15-19,2
嚴重特殊傳染性肺炎,2020,12,空值,F,是,20-24,17
嚴重特殊傳染性肺炎,2020,12,空值,F,是,25-29,9
嚴重特殊傳染性肺炎,2020,12,空值,F,是,30-34,6
嚴重特殊傳染性肺炎,2020,12,空值,F,是,35-39,3
嚴重特殊傳染性肺炎,2020,12,空值,F,是,40-44,2
嚴重特殊傳染性肺炎,2020,12,空值,F,是,45-49,2
嚴重特殊傳染性肺炎,2020,12,空值,F,是,50-54,3
嚴重特殊傳染性肺炎,2020,12,空值,F,是,55-59,4
嚴重特殊傳染性肺炎,2020,12,空值,F,是,60-64,3
嚴重特殊傳染性肺炎,2020,12,空值,F,是,65-69,2
嚴重特殊傳染性肺炎,2020,12,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020,12,空值,M,是,15-19,2
嚴重特殊傳染性肺炎,2020,12,空值,M,是,20-24,5
嚴重特殊傳染性肺炎,2020,12,空值,M,是,25-29,6
嚴重特殊傳染性肺炎,2020,12,空值,M,是,30-34,6
嚴重特殊傳染性肺炎,2020,12,空值,M,是,35-39,2
嚴重特殊傳染性肺炎,2020,12,空值,M,是,40-44,4
嚴重特殊傳染性肺炎,2020,12,空值,M,是,45-49,2
嚴重特殊傳染性肺炎,2020,12,空值,M,是,50-54,3
嚴重特殊傳染性肺炎,2020,12,空值,M,是,55-59,4
嚴重特殊傳染性肺炎,2020,12,空值,M,是,60-64,3
嚴重特殊傳染性肺炎,2020,12,空值,M,是,70+,3
嚴重特殊傳染性肺炎,2020,12,新北市,M,否,15-19,1
嚴重特殊傳染性肺炎,2020,12,新北市,M,否,25-29,1
嚴重特殊傳染性肺炎,2020,13,台北市,F,否,35-39,1
嚴重特殊傳染性肺炎,2020,13,台北市,F,否,45-49,1
嚴重特殊傳染性肺炎,2020,13,空值,F,是,15-19,8
嚴重特殊傳染性肺炎,2020,13,空值,F,是,20-24,21
嚴重特殊傳染性肺炎,2020,13,空值,F,是,25-29,11
嚴重特殊傳染性肺炎,2020,13,空值,F,是,30-34,8
嚴重特殊傳染性肺炎,2020,13,空值,F,是,35-39,4
嚴重特殊傳染性肺炎,2020,13,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020,13,空值,F,是,45-49,2
嚴重特殊傳染性肺炎,2020,13,空值,F,是,55-59,3
嚴重特殊傳染性肺炎,2020,13,空值,F,是,5-9,1
嚴重特殊傳染性肺炎,2020,13,空值,F,是,60-64,4
嚴重特殊傳染性肺炎,2020,13,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020,13,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020,13,空值,M,是,15-19,2
嚴重特殊傳染性肺炎,2020,13,空值,M,是,20-24,15
嚴重特殊傳染性肺炎,2020,13,空值,M,是,25-29,6
嚴重特殊傳染性肺炎,2020,13,空值,M,是,30-34,12
嚴重特殊傳染性肺炎,2020,13,空值,M,是,35-39,3
嚴重特殊傳染性肺炎,2020,13,空值,M,是,4,1
嚴重特殊傳染性肺炎,2020,13,空值,M,是,40-44,3
嚴重特殊傳染性肺炎,2020,13,空值,M,是,45-49,2
嚴重特殊傳染性肺炎,2020,13,空值,M,是,50-54,3
嚴重特殊傳染性肺炎,2020,13,空值,M,是,55-59,2
嚴重特殊傳染性肺炎,2020,13,空值,M,是,60-64,4
嚴重特殊傳染性肺炎,2020,13,空值,M,是,65-69,2
